web-1  | [05:47:47] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:47] "GET /api/reports/options HTTP/1.1" 200 -
web-1  | [05:47:55] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:47:55] "GET /health HTTP/1.1" 200 -
web-1  | [05:48:00] INFO     svc.report_service   Generating model_analysis report report_3e9262936586
web-1  | [05:48:00] INFO     svc.report_service   Generating model report for deepseek_deepseek-r1-0528 (normalized: deepseek_deepseek-r1-0528, variants: ['deepseek_deepseek-r1-0528', 'deepseek/deepseek-r1-0528', 'deepseek-deepseek-r1-0528', 'deepseek_deepseek_r1_0528'])
web-1  | [05:48:03] WARNING  svc.unified_resul... [_log:72] No results found for task_bf112b879f4d
web-1  | [05:48:03] WARNING  svc.unified_resul... [_log:72] No results found for task_3f6ecf097b89
web-1  | [05:48:06] INFO     svc.report_service   Report report_3e9262936586 generated successfully
web-1  | [05:48:06] INFO     factory              ✓ POST /api/reports/generate → 201 (5851ms)
web-1  | [05:48:06] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:48:06] "[35m[1mPOST /api/reports/generate HTTP/1.1[0m" 201 -
web-1  | [05:48:07] INFO     factory              ✓ GET /reports/ → 200 (272ms)
web-1  | [05:48:07] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:48:07] "GET /reports/ HTTP/1.1" 200 -
web-1  | [05:48:07] INFO     factory              ✓ GET /static/css/theme.css → 200 (2ms)
web-1  | [05:48:07] INFO     factory              [GROUPED] ✓ GET /static/css/tables.css → 200 (1ms) (repeated 2x in 60s)
web-1  | [05:48:07] INFO     factory              [GROUPED] ✓ GET /static/css/detail-pages.css → 200 (1ms) (repeated 2x in 60s)
web-1  | [05:48:07] INFO     factory              ✓ GET /static/js/cookie-manager.js → 200 (5ms)
web-1  | [05:48:07] INFO     factory              ✓ GET /static/js/sidebar.js → 200 (4ms)
web-1  | [05:48:07] INFO     factory              ✓ GET /static/js/theme.js → 200 (4ms)
