celery-worker-1  | [2026-01-29 05:50:19,470: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:20,124: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:50:22,475: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:25,131: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:50:25,480: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:28,483: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:30,137: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:50:31,488: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:34,493: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:35,144: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:50:37,498: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:40,151: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:50:40,503: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:43,508: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:45,157: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:50:46,513: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:49,518: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:50,164: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
